Feature Map,Entanglement,Bandwidth,Noisy Backend,Qubits,CNOT Count,Target Alignment,Spectral Variance,Condition Number,Test F1,Test AUC
ZZ,linear,0.5,False,8,28,0.14201600396899933,0.0033542449348540207,1092.5733713351613,0.8428571428571429,0.9245662100456621
ZZ,linear,0.5,True,8,28,0.14201600396899933,0.0033542449348540207,1092.5733713351613,0.8428571428571429,0.9245662100456621
ZZ,linear,1.0,False,8,28,0.07688839016512221,0.0005295242891263735,63.40792922061527,0.8251748251748252,0.8849315068493151
ZZ,linear,1.0,True,8,28,0.07688839016512221,0.0005295242891263735,63.40792922061527,0.8251748251748252,0.8849315068493151
ZZ,linear,2.0,False,8,28,0.07234630912563851,0.00040161419424841077,53.766665274209494,0.726027397260274,0.801826484018265
ZZ,linear,2.0,True,8,28,0.07234630912563851,0.00040161419424841077,53.766665274209494,0.726027397260274,0.801826484018265
ZZ,full,0.5,False,8,112,0.09759317972846578,0.0007415468994767496,96.81109539333285,0.8843537414965986,0.9610958904109589
ZZ,full,0.5,True,8,112,0.09759317972846578,0.0007415468994767496,96.81109539333285,0.8843537414965986,0.9610958904109589
ZZ,full,1.0,False,8,112,0.08302807765688058,0.0002696864789865626,25.481968636890784,0.8633093525179856,0.9400913242009132
ZZ,full,1.0,True,8,112,0.08302807765688058,0.0002696864789865626,25.481968636890784,0.8633093525179856,0.9400913242009132
ZZ,full,2.0,False,8,112,0.10006561554994861,0.0005314030570043364,67.74265170561219,0.8088235294117647,0.8698630136986301
ZZ,full,2.0,True,8,112,0.10006561554994861,0.0005314030570043364,67.74265170561219,0.8088235294117647,0.8698630136986301
CPMap,linear,0.5,False,5,48,0.028350317807789512,0.011093964979688455,601221573952.592,0.9548387096774194,0.9881278538812786
CPMap,linear,0.5,True,5,48,0.028350317807789512,0.011093964979688455,601221573952.592,0.9548387096774194,0.9881278538812786
CPMap,linear,1.0,False,5,48,0.1000906565363949,0.04484631430542442,452420993.42323023,0.9659863945578231,0.9976255707762557
CPMap,linear,1.0,True,5,48,0.1000906565363949,0.04484631430542442,452420993.42323023,0.9659863945578231,0.9976255707762557
CPMap,linear,2.0,False,5,48,0.1942421849727381,0.017637566848206766,188519.13415305098,0.9295774647887324,0.9609132420091324
CPMap,linear,2.0,True,5,48,0.1942421849727381,0.017637566848206766,188519.13415305098,0.9295774647887324,0.9609132420091324
