N_Train_Samples,N_Test_Samples,Feature_Map,Qubits_Required,Total_Circuits_Evaluated,SQ_Gates_Per_Circuit,CNOT_Gates_Per_Circuit,Cumulative_SQ_Gates,Cumulative_CNOT_Gates,Total_Quantum_Operations
450,200,Quantum-CPMap,5,191025,84,48,16046100,9169200,25215300
460,200,Quantum-ZZ,8,197570,16,28,3161120,5531960,8693080
460,200,Quantum-CPMap,5,197570,84,48,16595880,9483360,26079240
470,200,Quantum-ZZ,8,204215,16,28,3267440,5718020,8985460
470,200,Quantum-CPMap,5,204215,84,48,17154060,9802320,26956380
480,200,Quantum-ZZ,8,210960,16,28,3375360,5906880,9282240
480,200,Quantum-CPMap,5,210960,84,48,17720640,10126080,27846720
490,200,Quantum-ZZ,8,217805,16,28,3484880,6098540,9583420
490,200,Quantum-CPMap,5,217805,84,48,18295620,10454640,28750260
500,200,Quantum-ZZ,8,224750,16,28,3596000,6293000,9889000
500,200,Quantum-CPMap,5,224750,84,48,18879000,10788000,29667000
