N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
10,0.5370556562254044,0.46063134978229314,0.5555555555555557,0.6407766990291263,0.5663027841245664,0.6317460317460318,0.29112239961296565,0.31762879008616157,1.214015693003115,False,0.5353256555927444,0.5333333333333333,0.47091194968553457,0.3178850867060065,1.4052722896220213,False,0.6059507419923102,0.5333333333333333,0.4440009675858733,0.09393272950973984,42.51750084860903,False
20,0.5188783243764641,0.46262699564586357,0.5619047619047618,0.6407766990291263,0.6302388875483302,0.6666666666666666,0.36592888243831645,0.23091820243173167,2.111483248425397,False,0.5494218200100552,0.5619047619047618,0.42216981132075465,0.2189076306770026,1.5145646112395625,False,0.5474878387159089,0.5904761904761905,0.5611393323657475,0.07797335424221756,509.68238796602355,False
30,0.5761308926134754,0.626753749395259,0.5746031746031747,0.6407766990291263,0.6679089919245077,0.7015873015873016,0.5963957426221578,0.19475781218567892,1.953626838278829,True,0.5474275698525621,0.5492063492063493,0.4401306240928882,0.17935518633352818,1.8820978357212428,False,0.6354857871187088,0.6158730158730159,0.5720246734397678,0.05288487168746491,1399.2662824828233,False
40,0.5875938875938875,0.6602564102564104,0.6031746031746033,0.6407766990291263,0.7053441055734634,0.707936507936508,0.7858611514271892,0.16778450358973393,1.6530841179536406,True,0.5761764101916059,0.580952380952381,0.3975568456700533,0.15493765762214365,2.0442354829478053,False,0.5212109692306051,0.5523809523809524,0.5299951620706338,0.03605524088567664,3286.1150574951866,False
50,0.6404588968664774,0.6882559264634737,0.6222222222222222,0.6407766990291263,0.7731041801132017,0.746031746031746,0.6417513304305756,0.14926174887510102,2.367788303759379,True,0.5620277841737663,0.6031746031746031,0.415880503144654,0.14001482813613855,2.4085469329994216,False,0.5944672053412238,0.5968253968253968,0.5728713110788582,0.038689713417182546,6798.567877515115,False
60,0.6158193908193909,0.6669085631349784,0.6,0.6407766990291263,0.7600995495732338,0.7777777777777777,0.8630865989356554,0.14009374784103085,3.9113815798943112,True,0.6151057730134822,0.5746031746031747,0.3777213352685051,0.12886275021187202,3.286706055315426,False,0.6256658762071691,0.6031746031746031,0.6419327527818094,0.03024795772896809,19707.455916714618,False
70,0.6156850459482038,0.6803338171262698,0.6158730158730159,0.6407766990291263,0.7635102821616452,0.7555555555555555,0.8618166424770198,0.13831599885173018,4.897634316760116,True,0.5954610791685094,0.6063492063492064,0.5425737784228349,0.11965772288921885,3.1962659520243637,False,0.6189535183435003,0.6031746031746031,0.6184687953555877,0.024417831017641486,88491.7884994732,False
80,0.6011669440976557,0.6810595065312047,0.6285714285714286,0.6407766990291263,0.7782817905624922,0.7841269841269841,0.6535437832607645,0.12653041495046935,4.31433766702734,True,0.5279325882519259,0.5555555555555555,0.5498911465892597,0.10985867928313713,3.3425285282368677,False,0.6073897514720842,0.5777777777777777,0.5694242864054185,0.026592769295495772,60793.19620324944,False
90,0.6032204396910279,0.6851112723754232,0.6063492063492063,0.6407766990291263,0.7352318933053085,0.746031746031746,0.8657474600870828,0.1189698554739984,4.950098685201865,True,0.5815019565019565,0.5936507936507937,0.5555152394775037,0.1053172191147388,3.9796877998942275,False,0.6274218092890517,0.6190476190476191,0.6458030962747944,0.025220407638285185,71455.33421419217,False
100,0.667928231006448,0.7065795839380745,0.6349206349206349,0.6407766990291263,0.8023980907175542,0.8000000000000002,0.899431543299468,0.11262485438509919,3.874869724201831,True,0.5909306742640076,0.6,0.5757135945815192,0.0990650030800657,3.66916084004111,False,0.6348484848484848,0.6317460317460317,0.5959724238026125,0.023918919760357277,111379.23094149663,False
110,0.6134105534105534,0.6767658442186745,0.6126984126984127,0.6407766990291263,0.8315299060037322,0.834920634920635,0.9193880019351718,0.11230357679860735,5.567633890543654,True,0.5755593538202234,0.5777777777777778,0.6571117561683599,0.0953240917603863,4.32725818517582,False,0.6228128203114459,0.6063492063492064,0.651608611514272,0.022294876430191003,114688.88632739114,False
120,0.6178941518747343,0.7171020803096274,0.6285714285714286,0.6407766990291263,0.7879833723870421,0.8031746031746031,0.9055999032414127,0.10789745766520371,10.558919304435964,True,0.6185786379091424,0.6285714285714286,0.45700290275761973,0.08923820686655527,4.477664808161295,False,0.6034597288419918,0.5873015873015873,0.6036526366715046,0.021967243161875333,125194.7526924749,False
130,0.6108529134598982,0.6869254958877601,0.6285714285714286,0.6407766990291263,0.8075395728810367,0.7999999999999999,0.9138848572810837,0.10732249362901997,5.178080508206162,True,0.618095775859751,0.6095238095238096,0.6523947750362845,0.08819923375934309,4.963508255238011,False,0.6048185941043084,0.5873015873015873,0.6427189163038219,0.019006344540773,233561.1155320628,False
140,0.6394899535203685,0.7103894533139817,0.6412698412698412,0.6407766990291263,0.7753995987834078,0.780952380952381,0.8895742622157717,0.10180427624273174,5.629346690883987,True,0.6189166610219242,0.6222222222222222,0.5742622157716498,0.08393301126305301,6.251053915005067,False,0.6431476428300226,0.6317460317460317,0.6554789550072568,0.02508234350937102,350515.4078921781,True
