N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
110,0.5264986092171572,0.4929276412467871,0.5186666666666667,0.5628986747114534,0.5782936840228358,0.5653333333333334,0.5354900420547513,0.09661814524234073,11.705241526625095,True,0.5609316092324546,0.5493333333333333,0.41673616011290004,0.09474258777238424,2.5418496765454375,False,0.5508486264974717,0.5093333333333333,0.5031447549121766,0.03240213106295497,14927.968383996802,False
120,0.502142076439783,0.5014962300346805,0.5053333333333333,0.5628986747114534,0.5649731320836796,0.5346666666666667,0.4658699241731994,0.09186115775187435,3.012170732033895,True,0.576991500248742,0.5693333333333334,0.40669702995702095,0.09031542632037615,3.8577298896665986,True,0.5792561959816914,0.5653333333333334,0.5521356011905717,0.028022262330987053,11999.341316271262,True
130,0.5995348996387101,0.5127660484030416,0.524,0.5628986747114534,0.5093350417069791,0.53,0.5288318184004233,0.08846005819425194,2.9876681658559425,False,0.5930847791312907,0.5746666666666668,0.3953856351700986,0.08611628441896378,2.658549175881996,True,0.5660345073483454,0.574,0.6006749066192149,0.024863648866686322,19036.097696183482,True
140,0.5630720232699993,0.5004194787775801,0.508,0.5628986747114534,0.5474480896828728,0.5493333333333333,0.5275707102283353,0.08359828443890609,2.6559993900440872,False,0.5895015916866707,0.5680000000000001,0.4626232172258216,0.08360745577291889,3.1683512024716944,True,0.5860754684204009,0.5773333333333333,0.5886035364465605,0.02182616979987395,48707.357947208424,True
150,0.6501963186472711,0.48787786487974055,0.534,0.5628986747114534,0.5127989637954752,0.5213333333333333,0.47666415513767996,0.0808225358919356,3.149980937556874,False,0.5508869454108782,0.532,0.5324694763401544,0.08076198407253488,2.960397788389562,False,0.5761175428677161,0.5706666666666667,0.5914169832796294,0.023063270314957876,42531.93150903984,True
160,0.6011661087892679,0.503150098590872,0.52,0.5628986747114534,0.5604389175007568,0.5593333333333333,0.4996686919208922,0.07865133969784871,3.471945654580153,False,0.5629205440229063,0.5533333333333333,0.41908824598541705,0.0772190902418992,3.158827795973261,True,0.5965873732856425,0.5786666666666666,0.6081747596680507,0.020787532393359547,55101.201743012716,True
170,0.5066757794924263,0.48452470649844764,0.5113333333333333,0.5628986747114534,0.5767133491455869,0.5553333333333333,0.5269348124635962,0.07602692819293254,3.6329824256029752,True,0.5840760096079244,0.5493333333333333,0.483588855389484,0.07498543306927062,3.3768478282655643,True,0.5719599957358767,0.566,0.6015459262465467,0.024178520504823182,84402.4639128801,True
180,0.6164498878302215,0.4881316896177667,0.524,0.5628986747114534,0.5555363550637124,0.5586666666666666,0.5397542976535906,0.07411608675231647,3.9800259626167196,False,0.5678515489608337,0.56,0.550986806936515,0.07477996537562537,3.743498595677792,True,0.5674870852833883,0.5646666666666667,0.5790971320476442,0.02310311537870205,101748.90302225962,True
190,0.5964298087288441,0.5088918813489581,0.5266666666666667,0.5628986747114534,0.5548710102360127,0.5566666666666666,0.53983445283402,0.07148223395160773,6.763398957463113,False,0.568387036129029,0.5506666666666667,0.5268458528449548,0.07249494036712409,3.6585704879451244,True,0.5955975746429495,0.5706666666666667,0.5461453373731544,0.017761308297906453,163946.77809408586,True
200,0.6133309168633393,0.4842869127965073,0.5193333333333333,0.5628986747114534,0.5388771622918851,0.5433333333333333,0.507844520324682,0.07005430460408392,3.838890148043154,False,0.5746088141284799,0.56,0.5373233262770757,0.07018509669797586,4.9202075292870076,True,0.5898448718737247,0.5666666666666668,0.5432490635203087,0.016006690389563885,199142.53951892798,True
