N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
190,0.9403221714865552,0.9916590563165905,0.9414414414414415,0.9611084868524641,0.7605628938962273,0.7792792792792792,0.8487366818873668,0.0911642185894717,5.969403794160528,False,0.8400603729490238,0.8513513513513513,0.9273059360730594,0.08980424789880996,7.1433588335257605,False,0.9335286339468981,0.9324324324324325,0.9884322678843227,0.07397553149848383,2680033.4222625685,False
200,0.9210213685103756,0.9817351598173517,0.9211711711711711,0.9611084868524641,0.780265068901976,0.7995495495495496,0.8646575342465753,0.08798973119939879,7.209428770697249,False,0.8361539154726502,0.8490990990990991,0.9265144596651447,0.08640872061457607,6.455618740067864,False,0.9525648097076669,0.9527027027027026,0.992937595129376,0.07351082719214351,3249463.0676090047,False
210,0.9307081807081806,0.9884931506849316,0.9324324324324325,0.9611084868524641,0.7598039215686274,0.7837837837837838,0.8554337899543379,0.08762234676771956,9.357096771694282,False,0.8348759361900789,0.8445945945945946,0.9250532724505328,0.08625334223455566,8.59798262496832,False,0.9528636368279653,0.9527027027027027,0.9913546423135463,0.07426772612668521,3190310.329114807,False
220,0.9360027836055234,0.990806697108067,0.936936936936937,0.9611084868524641,0.7515418018383347,0.7725225225225225,0.8468188736681889,0.0838235090669958,10.755897359896862,False,0.8499418174124616,0.8626126126126126,0.9378995433789955,0.08558303155876301,7.134224122991274,False,0.9522869248896647,0.9527027027027027,0.9917199391171994,0.07296418870165595,2378588.3616568777,False
230,0.9258539744212401,0.985814307458143,0.9279279279279279,0.9611084868524641,0.7708123801961775,0.7905405405405405,0.8480669710806698,0.08333061130741344,13.076069333460783,False,0.8287295536704965,0.8400900900900901,0.9234094368340943,0.08417686316340874,7.374727529206848,False,0.9538205352141579,0.9527027027027026,0.993972602739726,0.06990532632823324,3119283.8629382723,False
240,0.958715162966462,0.9936073059360732,0.9594594594594593,0.9611084868524641,0.7838124783678704,0.8018018018018019,0.8525114155251142,0.08300824546343645,11.699790736974471,False,0.8217734855136083,0.8378378378378378,0.922130898021309,0.08469732344995895,8.969473937839503,False,0.9482197749723937,0.9481981981981983,0.9917199391171995,0.07370708450153486,4021958.0677702785,False
250,0.9361336850911046,0.9898934550989346,0.9369369369369368,0.9611084868524641,0.7790639671361502,0.7995495495495496,0.8568036529680364,0.08036517735475869,25.79602403701621,False,0.8316684510054961,0.846846846846847,0.919269406392694,0.0833042521922649,8.129559329049568,False,0.9618164939353818,0.9617117117117117,0.9949467275494673,0.07748534250649307,5235139.129705846,True
260,0.9400383141762453,0.9889193302891933,0.9414414414414415,0.9611084868524641,0.7649443654053719,0.7882882882882883,0.8686757990867581,0.08432139111176777,26.77436785015083,False,0.8480091941508263,0.8603603603603603,0.928158295281583,0.08273411926863887,13.150000735758882,False,0.9566986611996396,0.9572072072072072,0.9942161339421615,0.06954466428975971,7685588.14997514,False
270,0.9492556873809909,0.9898934550989346,0.9504504504504504,0.9611084868524641,0.7790858677263445,0.7927927927927928,0.8578386605783868,0.08101066752485274,40.182373127938746,False,0.8387322646029114,0.8536036036036037,0.9234094368340943,0.08330651313751476,10.639028668095529,False,0.956973255055447,0.9572072072072073,0.9934855403348554,0.07168213896189242,8550387.91875566,False
280,0.9470612676918769,0.9891019786910197,0.9481981981981983,0.9611084868524641,0.7969426245781218,0.8085585585585586,0.8659969558599695,0.08066988908504673,20.574260374955617,False,0.8377908437609931,0.8536036036036037,0.9318721461187215,0.081038918732954,10.55139472816153,False,0.9327927927927928,0.9324324324324325,0.9897716894977169,0.07426285949526225,7530274.000773902,False
290,0.9475936966725819,0.9925114155251142,0.9481981981981981,0.9611084868524641,0.7733543035701308,0.7905405405405405,0.8639878234398782,0.07920271837077052,20.946015355771596,False,0.8507240978707178,0.8648648648648649,0.9307762557077627,0.07854420053829275,14.41937459212177,False,0.959359763742807,0.9594594594594595,0.994337899543379,0.07066747974851996,8512998.023940338,False
300,0.9326880182756822,0.9896499238964992,0.9346846846846847,0.9611084868524641,0.7858653988075804,0.7995495495495496,0.8677625570776254,0.0798443932890932,20.897608895175953,False,0.8444272445820434,0.8581081081081082,0.9255403348554033,0.07944247899323822,15.55363938493079,False,0.95669716162327,0.9572072072072072,0.9956468797564687,0.07411063378835146,14519329.678147303,False
310,0.9430137349600436,0.9898934550989346,0.9436936936936937,0.9611084868524641,0.7872327997221432,0.8040540540540541,0.8691628614916285,0.08184951864410482,18.983754050123608,False,0.8613497250752152,0.8738738738738738,0.9322374429223744,0.0762348983495643,12.249448587191146,False,0.9544229880886465,0.954954954954955,0.9931202435312024,0.07523921894613907,15456053.68084929,False
320,0.9451881206960732,0.9901369863013699,0.9459459459459459,0.9611084868524641,0.7892443108630314,0.8063063063063063,0.8506544901065448,0.07825482938180565,38.56097102649913,False,0.8599491648511256,0.8716216216216216,0.9394216133942163,0.07858829194493522,16.013652049402896,False,0.9703662286832541,0.9707207207207208,0.9964687975646879,0.07385011656817327,16249477.979203431,True
330,0.9449220595181861,0.9908675799086758,0.9459459459459459,0.9611084868524641,0.7800618754964672,0.7972972972972974,0.8635616438356165,0.07692561565772738,20.600755986223717,False,0.8443290085520112,0.858108108108108,0.9258447488584475,0.07635351856919746,12.576945612764828,False,0.9637763197124456,0.963963963963964,0.9959817351598175,0.06928378115891835,23714838.736108232,True
340,0.9517241379310345,0.9921461187214612,0.9527027027027026,0.9611084868524641,0.7828290559042128,0.795045045045045,0.8729984779299849,0.07636712429248704,16.136187056967486,False,0.8316289685206004,0.846846846846847,0.9295585996955861,0.07841322103831512,17.115942960254866,False,0.9588939624556062,0.9594594594594593,0.9943987823439878,0.07307826364472968,21085902.82083436,False
350,0.9517195133633489,0.9923287671232877,0.9527027027027026,0.9611084868524641,0.796985460851007,0.8085585585585586,0.869041095890411,0.07539505041789674,20.213424491926947,False,0.8599857853589197,0.8738738738738738,0.9385692541856926,0.07572274002724129,17.04519207924847,False,0.954332757414949,0.954954954954955,0.9945814307458143,0.07237754923227102,30229159.80839673,False
360,0.9585249042145594,0.9943378995433788,0.9594594594594593,0.9611084868524641,0.7813362381989832,0.7995495495495496,0.8741552511415525,0.07449071171319922,43.17841666325035,False,0.8487906111349649,0.8603603603603603,0.9349162861491629,0.076241797301027,17.618780381136773,False,0.9610759246227226,0.9617117117117117,0.9961643835616439,0.07142261778556243,48677074.80751166,False
370,0.9541174618170367,0.9938508371385084,0.954954954954955,0.9611084868524641,0.7995591088503992,0.8153153153153153,0.8763470319634704,0.07346871071736255,26.044109409903072,False,0.8571581933900774,0.8693693693693693,0.9316286149162862,0.07492664392441684,14.423800809264732,False,0.9728495618906577,0.9729729729729731,0.9976255707762558,0.07268231993635992,43179417.443096794,True
380,0.9538939624556063,0.9935464231354643,0.954954954954955,0.9611084868524641,0.7959647627166809,0.8108108108108109,0.8708980213089802,0.07304249315455354,20.77518166363251,False,0.8668649941728517,0.8783783783783784,0.9448401826484019,0.07329299840187653,19.187710768046674,False,0.9634703196347032,0.963963963963964,0.9958599695585998,0.07208291558072595,78137110.78521957,True
390,0.9492975734355045,0.9925722983257229,0.9504504504504504,0.9611084868524641,0.8114684722809987,0.8243243243243242,0.8742161339421614,0.07340484010178776,41.27252609015234,False,0.8536832643505163,0.8671171171171171,0.9308980213089803,0.07537443458966657,19.99544115931525,False,0.9588715473592996,0.9594594594594595,0.9959817351598174,0.07122131294136157,58481981.688052684,False
400,0.9495197606676115,0.993302891933029,0.9504504504504504,0.9611084868524641,0.8149938003801539,0.8243243243243242,0.8801217656012176,0.07208096785729783,46.54578681199595,False,0.8420990286661928,0.858108108108108,0.9380213089802131,0.07384871247964457,19.561975218872146,False,0.965954492373279,0.9662162162162162,0.9973211567732116,0.07004219489300406,83302059.98731057,True
410,0.9516908973215067,0.9942161339421615,0.9527027027027026,0.9611084868524641,0.7929920826479634,0.8085585585585586,0.8866971080669711,0.07287443564032653,28.939724484560617,False,0.8599005932339265,0.8738738738738738,0.94441400304414,0.07336002357611576,16.049566140059568,False,0.9614512471655328,0.9617117117117117,0.9973211567732116,0.07247538753505077,108670609.4677396,True
420,0.9541174618170367,0.9944596651445966,0.954954954954955,0.9611084868524641,0.7911985241963845,0.8040540540540541,0.8726331811263318,0.07262715530211936,48.90990488168556,False,0.8465450525152017,0.8603603603603603,0.9340639269406393,0.07259047271895396,16.168088076063455,False,0.9658300101649854,0.9662162162162162,0.9975038051750381,0.0720478538386566,77816443.43869182,True
430,0.9515006385696041,0.9930593607305935,0.9527027027027026,0.9611084868524641,0.8019602724675227,0.8153153153153153,0.8754946727549467,0.07319688959710095,27.012616412830006,False,0.8371244710600562,0.8536036036036037,0.9332115677321159,0.0735015372524232,17.01428506104828,False,0.9681599407626805,0.9684684684684685,0.9970167427701675,0.07137874000022955,129304940.71847136,True
440,0.9538952745849297,0.9937899543378995,0.954954954954955,0.9611084868524641,0.7961479627311917,0.8085585585585586,0.8742161339421614,0.07279215758804035,39.19927401012506,False,0.8413078149920256,0.8581081081081082,0.9377168949771689,0.07239493055548017,21.86537316627329,False,0.9636256329015623,0.963963963963964,0.9979299847792998,0.07022630438615983,131688961.82428584,True
450,0.958904109589041,0.9937290715372907,0.9594594594594593,0.9611084868524641,0.7901305092249767,0.8063063063063064,0.8822222222222221,0.07195991415290022,31.320082452357273,False,0.8542137795869139,0.8693693693693695,0.9410654490106545,0.07206159660568386,21.968495401289253,False,0.9657981079804415,0.9662162162162162,0.9973820395738203,0.07098226059973094,188064525.74772194,True
460,0.9541174618170367,0.993668188736682,0.954954954954955,0.9611084868524641,0.7931873479318735,0.8085585585585585,0.8826179604261797,0.07192031515008236,30.873747818700313,False,0.8542137795869139,0.8693693693693695,0.9453881278538813,0.07331471399406582,22.397072078188618,False,0.9612648712453017,0.9617117117117117,0.9975646879756469,0.07167375177160064,163580743.53064376,True
470,0.9565107857030388,0.9940943683409437,0.9572072072072073,0.9611084868524641,0.8047689571967579,0.8175675675675675,0.8798782343987823,0.07313473799147864,57.48571798511784,False,0.8662569505414105,0.8783783783783784,0.9364992389649923,0.07415311460543313,18.010116996766367,False,0.9659863945578232,0.9662162162162162,0.9978691019786909,0.07433199930305946,230411238.83658332,True
480,0.9565107857030388,0.9951902587519026,0.9572072072072072,0.9611084868524641,0.7989929980160183,0.8108108108108109,0.8754946727549467,0.07300145068541063,57.85269737503252,False,0.8613598673300166,0.8738738738738738,0.9404566210045662,0.07498361349251292,23.77890858677693,False,0.9683152540295398,0.9684684684684685,0.997808219178082,0.07756980628347078,239684968.1556458,True
490,0.958904109589041,0.9954946727549467,0.9594594594594593,0.9611084868524641,0.8123606889564337,0.8220720720720721,0.8823744292237442,0.07371295438425575,60.20498888115049,False,0.8648511256354393,0.8761261261261262,0.9397869101978692,0.07598572599395807,23.63896888437069,False,0.9682833518449957,0.9684684684684685,0.9971385083713852,0.08114158497472249,279741481.93732,True
500,0.9611084868524641,0.9949467275494671,0.9617117117117117,0.9611084868524641,0.823527453134885,0.8310810810810811,0.8861796042617961,0.07444029067788317,59.5323422388143,False,0.8620551924473493,0.8738738738738738,0.9358904109589042,0.07755884979712892,24.24071232038692,False,0.9636256329015623,0.963963963963964,0.9973211567732116,0.08439625219731195,320492387.52412397,True
