Feature Map,Entanglement,Bandwidth,Noisy Backend,Qubits,CNOT Count,Target Alignment,Spectral Variance,Condition Number,Test F1,Test AUC
ZZ,linear,0.5,False,8,28,0.1077532196170643,0.0034770085137720273,329.7134776948954,0.693069306930693,0.843432510885341
ZZ,linear,0.5,True,8,28,0.1077532196170643,0.0034770085137720273,329.7134776948954,0.693069306930693,0.843432510885341
ZZ,linear,1.0,False,8,28,0.08182949818102812,0.000536413193139942,25.09355362747753,0.8598130841121495,0.9452104499274311
ZZ,linear,1.0,True,8,28,0.08182949818102812,0.000536413193139942,25.09355362747753,0.8598130841121495,0.9452104499274311
ZZ,linear,2.0,False,8,28,0.057508722827035404,0.0003940457618563657,18.97139988491422,0.7350427350427351,0.80533381712627
ZZ,linear,2.0,True,8,28,0.057508722827035404,0.0003940457618563657,18.97139988491422,0.7350427350427351,0.80533381712627
ZZ,full,0.5,False,8,112,0.04380524697745492,0.0007412351443283286,54.13471585763356,0.7169811320754716,0.7362119013062409
ZZ,full,0.5,True,8,112,0.04380524697745492,0.0007412351443283286,54.13471585763356,0.7169811320754716,0.7362119013062409
ZZ,full,1.0,False,8,112,0.051979709816216406,0.0002681731975338173,16.752720660481085,0.6846846846846847,0.7275036284470248
ZZ,full,1.0,True,8,112,0.051979709816216406,0.0002681731975338173,16.752720660481085,0.6846846846846847,0.7275036284470248
ZZ,full,2.0,False,8,112,0.04942767379528663,0.0004905333819192622,29.58921945183926,0.6915887850467289,0.7819303338171263
ZZ,full,2.0,True,8,112,0.04942767379528663,0.0004905333819192622,29.58921945183926,0.6915887850467289,0.7819303338171263
CPMap,linear,0.5,False,5,48,0.00370862322065181,0.011361163001238066,102746732457.44048,0.6055045871559633,0.6135703918722787
CPMap,linear,0.5,True,5,48,0.00370862322065181,0.011361163001238066,102746732457.44048,0.6055045871559633,0.6135703918722787
CPMap,linear,1.0,False,5,48,0.016882772029791562,0.044761693922392605,121244680.8397514,0.6422018348623854,0.6591074020319303
CPMap,linear,1.0,True,5,48,0.016882772029791562,0.044761693922392605,121244680.8397514,0.6422018348623854,0.6591074020319303
CPMap,linear,2.0,False,5,48,0.06688285526024759,0.017484301719786082,80288.90891603412,0.6534653465346535,0.7699564586357039
CPMap,linear,2.0,True,5,48,0.06688285526024759,0.017484301719786082,80288.90891603412,0.6534653465346535,0.7699564586357039
