N_Samples,Classical_RBF_F1,Classical_Converged_Target_F1,Quantum-ZZ_F1,Quantum-ZZ_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Reached_Target
10,0.775144090739166,0.9661385807119268,0.5938981603118225,False,0.7714450067665536,False
20,0.8312579821200511,0.9661385807119268,0.5655512480446167,False,0.8532383722695123,False
30,0.8795195195195195,0.9661385807119268,0.5644540644540644,False,0.8814404836328734,False
40,0.8587334395482132,0.9661385807119268,0.579274909404944,False,0.8795119476774684,False
50,0.8899706966632007,0.9661385807119268,0.6536418964196358,False,0.8968657799904749,False
60,0.8758708012575164,0.9661385807119268,0.6899226368367882,False,0.9062535370684777,False
70,0.8833388973948679,0.9661385807119268,0.6624523017965641,False,0.948943213649096,False
80,0.9106097047273517,0.9661385807119268,0.6919110074808122,False,0.8914559721011335,False
90,0.9167863599659857,0.9661385807119268,0.6725043687199651,False,0.9224975596440789,False
100,0.9263941044762962,0.9661385807119268,0.7324514991181658,False,0.9452757711271643,False
110,0.9325289089994971,0.9661385807119268,0.7336213999758416,False,0.9049212811776958,False
120,0.9085956320149186,0.9661385807119268,0.7140298854584569,False,0.9243657319558648,False
130,0.9354490792473528,0.9661385807119268,0.749939874939875,False,0.9330434098646019,False
140,0.9431275554361775,0.9661385807119268,0.7384428223844283,False,0.9561403508771931,False
150,0.928212098183259,0.9661385807119268,0.7410688734587465,False,0.9295819981485437,False
160,0.92234101009322,0.9661385807119268,0.7403692743180649,False,0.9643155507817163,False
170,0.923975539823907,0.9661385807119268,0.7476190476190476,False,0.944310216256525,False
180,0.9309432611419366,0.9661385807119268,0.7379060574140666,False,0.9356203262085615,False
190,0.9403169129196526,0.9661385807119268,0.7518903374585412,False,0.9553753753753753,False
200,0.9434628437504755,0.9661385807119268,0.7528570375285705,False,0.963962935679139,False
210,0.9348423278477522,0.9661385807119268,0.7706160478375748,False,0.9504926700312425,False
220,0.9532334601747122,0.9661385807119268,0.7778061282347872,False,0.9618398222226582,False
230,0.9500201907246918,0.9661385807119268,0.7704889373888272,False,0.9482061317677756,False
240,0.9321354737627207,0.9661385807119268,0.7746457707170459,False,0.9576733780760627,False
250,0.9349659863945577,0.9661385807119268,0.7816879059185324,False,0.9594444444444444,False
260,0.9456872980362913,0.9661385807119268,0.7660506775879865,False,0.9527042492074935,False
270,0.9637788473404912,0.9661385807119268,0.7579231239437633,False,0.9616044616044617,False
280,0.9479023014924458,0.9661385807119268,0.784427700806107,False,0.9539937328759893,False
290,0.9454454454454454,0.9661385807119268,0.7847786538939919,False,0.9464522232734153,False
300,0.9549500185116623,0.9661385807119268,0.7932704976183237,False,0.9577849385368182,False
310,0.9414949195771113,0.9661385807119268,0.7935482281986842,False,0.9551301986918426,False
320,0.9385201528058671,0.9661385807119268,0.7903937719389705,False,0.9485458612975392,False
330,0.9543957750854303,0.9661385807119268,0.7960964561683985,False,0.9753001871889695,True
340,0.9449813641931869,0.9661385807119268,0.7833761665038383,False,0.9685870080606923,True
350,0.9414965986394558,0.9661385807119268,0.8180317197301455,False,0.957343249289558,False
360,0.9548282529104446,0.9661385807119268,0.7865832464372611,False,0.9617846417846417,False
370,0.9435492187742677,0.9661385807119268,0.8106001306741363,False,0.9618398222226582,False
380,0.9590904855092722,0.9661385807119268,0.7970460230972208,False,0.962117822520507,False
390,0.9594557322791211,0.9661385807119268,0.8139160620635307,False,0.9640238101407803,False
400,0.9612936034759368,0.9661385807119268,0.7886427420009509,False,0.96644174375718,True
410,0.9565107857030388,0.9661385807119268,0.791386057969287,False,0.9684034719651158,True
420,0.9569160997732427,0.9661385807119268,0.8015557996952191,False,0.9706408225390613,True
430,0.9569148404764842,0.9661385807119268,0.7780934760583235,False,0.9641431158593191,False
440,0.963962935679139,0.9661385807119268,0.7933992845964677,False,0.9683152540295398,True
450,0.9565407772304324,0.9661385807119268,0.7895817289660515,False,0.9622614490152462,False
460,0.9681876275720294,0.9661385807119268,0.8009793988517392,False,0.968528314645285,True
470,0.9707650397966793,0.9661385807119268,0.7913669064748201,False,0.9753001871889696,True
480,0.965800018637592,0.9661385807119268,0.7989648033126295,False,0.9728495618906577,True
490,0.9684674401836434,0.9661385807119268,0.7970814837491709,False,0.9683152540295398,True
500,0.9661385807119268,0.9661385807119268,0.807439322572676,False,0.9661396089967518,True
